"date","zip_code","psps_abs","psps_hybrid"
2013-10-05,91916,1,1
2013-10-05,91931,1,1
2013-10-05,92036,1,1
2013-10-06,91916,1,1
2013-10-06,91931,1,1
2013-10-06,92036,1,1
2014-01-14,91916,1,1
2014-01-14,91931,1,1
2014-01-14,92036,1,1
2014-01-15,91916,1,1
2014-01-15,91931,1,1
2014-01-15,92036,1,1
2014-05-14,91901,1,1
2014-05-14,91903,1,1
2014-05-14,91916,1,1
2014-05-14,91931,1,1
2014-05-14,92036,1,1
2014-05-15,91901,1,1
2014-05-15,91903,1,1
2014-05-15,91916,1,1
2014-05-15,91931,1,1
2014-05-15,92036,1,1
2014-11-24,91916,1,1
2014-11-24,91931,1,1
2014-11-24,92036,1,1
2014-11-25,91916,1,1
2014-11-25,91931,1,1
2014-11-25,92036,1,1
2017-10-23,91916,1,1
2017-10-23,91931,1,1
2017-10-23,92036,1,1
2017-10-24,91916,1,1
2017-10-24,91931,1,1
2017-10-24,92036,1,1
2017-10-25,91916,1,1
2017-10-25,91931,1,1
2017-10-25,92036,1,1
2017-12-06,91901,1,1
2017-12-06,91903,1,1
2017-12-06,91905,1,1
2017-12-06,91906,1,1
2017-12-06,91916,1,1
2017-12-06,91931,1,1
2017-12-06,91948,1,1
2017-12-06,91962,1,1
2017-12-06,91963,1,1
2017-12-06,92004,1,1
2017-12-06,92019,1,1
2017-12-06,92036,1,1
2017-12-06,92059,1,1
2017-12-06,92060,1,1
2017-12-06,92061,1,1
2017-12-06,92065,1,1
2017-12-06,92066,1,1
2017-12-06,92070,1,1
2017-12-06,92082,1,1
2017-12-06,92086,1,1
2017-12-06,92143,1,1
2017-12-06,92536,1,1
2017-12-06,92592,1,1
2017-12-07,91901,1,1
2017-12-07,91903,1,1
2017-12-07,91905,1,1
2017-12-07,91906,1,1
2017-12-07,91916,1,1
2017-12-07,91931,1,1
2017-12-07,91948,1,1
2017-12-07,91962,1,1
2017-12-07,91963,1,1
2017-12-07,92004,1,1
2017-12-07,92019,1,1
2017-12-07,92036,1,1
2017-12-07,92059,1,1
2017-12-07,92060,1,1
2017-12-07,92061,1,1
2017-12-07,92065,1,1
2017-12-07,92066,1,1
2017-12-07,92070,1,1
2017-12-07,92082,1,1
2017-12-07,92086,1,1
2017-12-07,92143,1,1
2017-12-07,92536,1,1
2017-12-07,92592,1,1
2017-12-08,91901,1,1
2017-12-08,91903,1,1
2017-12-08,91905,1,1
2017-12-08,91906,1,1
2017-12-08,91916,1,1
2017-12-08,91931,1,1
2017-12-08,91948,1,1
2017-12-08,91962,1,1
2017-12-08,91963,1,1
2017-12-08,92004,1,1
2017-12-08,92019,1,1
2017-12-08,92036,1,1
2017-12-08,92059,1,1
2017-12-08,92060,1,1
2017-12-08,92061,1,1
2017-12-08,92065,1,1
2017-12-08,92066,1,1
2017-12-08,92070,1,1
2017-12-08,92082,1,1
2017-12-08,92086,1,1
2017-12-08,92143,1,1
2017-12-08,92536,1,1
2017-12-08,92592,1,1
2017-12-09,91901,1,1
2017-12-09,91903,1,1
2017-12-09,91905,1,1
2017-12-09,91906,1,1
2017-12-09,91916,1,1
2017-12-09,91931,1,1
2017-12-09,91948,1,1
2017-12-09,91962,1,1
2017-12-09,91963,1,1
2017-12-09,92004,1,1
2017-12-09,92019,1,1
2017-12-09,92036,1,1
2017-12-09,92059,1,1
2017-12-09,92060,1,1
2017-12-09,92061,1,1
2017-12-09,92065,1,1
2017-12-09,92066,1,1
2017-12-09,92070,1,1
2017-12-09,92082,1,1
2017-12-09,92086,1,1
2017-12-09,92143,1,1
2017-12-09,92536,1,1
2017-12-09,92592,1,1
2017-12-10,91901,1,1
2017-12-10,91903,1,1
2017-12-10,91905,1,1
2017-12-10,91906,1,1
2017-12-10,91916,1,1
2017-12-10,91931,1,1
2017-12-10,91948,1,1
2017-12-10,91962,1,1
2017-12-10,91963,1,1
2017-12-10,92004,1,1
2017-12-10,92019,1,1
2017-12-10,92036,1,1
2017-12-10,92059,1,1
2017-12-10,92060,1,1
2017-12-10,92061,1,1
2017-12-10,92065,1,1
2017-12-10,92066,1,1
2017-12-10,92070,1,1
2017-12-10,92082,1,1
2017-12-10,92086,1,1
2017-12-10,92143,1,1
2017-12-10,92536,1,1
2017-12-10,92592,1,1
2017-12-11,91901,1,1
2017-12-11,91903,1,1
2017-12-11,91905,1,1
2017-12-11,91906,1,1
2017-12-11,91916,1,1
2017-12-11,91931,1,1
2017-12-11,91948,1,1
2017-12-11,91962,1,1
2017-12-11,91963,1,1
2017-12-11,92004,1,1
2017-12-11,92019,1,1
2017-12-11,92036,1,1
2017-12-11,92059,1,1
2017-12-11,92060,1,1
2017-12-11,92061,1,1
2017-12-11,92065,1,1
2017-12-11,92066,1,1
2017-12-11,92070,1,1
2017-12-11,92082,1,1
2017-12-11,92086,1,1
2017-12-11,92143,1,1
2017-12-11,92536,1,1
2017-12-11,92592,1,1
2017-12-14,91905,1,1
2017-12-14,91906,1,1
2017-12-14,91916,1,1
2017-12-14,91931,1,1
2017-12-14,91962,1,1
2017-12-14,92036,1,1
2017-12-15,91905,1,1
2017-12-15,91906,1,1
2017-12-15,91916,1,1
2017-12-15,91931,1,1
2017-12-15,91962,1,1
2017-12-15,92036,1,1
2018-10-14,94508,1,1
2018-10-14,94515,1,1
2018-10-14,94567,1,1
2018-10-14,94574,1,1
2018-10-14,94576,1,1
2018-10-14,95232,1,1
2018-10-14,95245,1,1
2018-10-14,95246,1,1
2018-10-14,95248,1,1
2018-10-14,95255,1,1
2018-10-14,95257,1,1
2018-10-14,95403,1,1
2018-10-14,95402,1,1
2018-10-14,95404,1,1
2018-10-14,95406,1,1
2018-10-14,95409,1,1
2018-10-14,95422,1,1
2018-10-14,95424,1,1
2018-10-14,95423,1,1
2018-10-14,95426,1,1
2018-10-14,95435,1,1
2018-10-14,95439,1,1
2018-10-14,95442,1,1
2018-10-14,95443,1,1
2018-10-14,95448,1,1
2018-10-14,95451,1,1
2018-10-14,95452,1,1
2018-10-14,95453,1,1
2018-10-14,95457,1,1
2018-10-14,95461,1,1
2018-10-14,95467,1,1
2018-10-14,95614,1,1
2018-10-14,95619,1,1
2018-10-14,95623,1,1
2018-10-14,95629,1,1
2018-10-14,95656,1,1
2018-10-14,95630,1,1
2018-10-14,95671,1,1
2018-10-14,95763,1,1
2018-10-14,95631,1,1
2018-10-14,95633,1,1
2018-10-14,95634,1,1
2018-10-14,95635,1,1
2018-10-14,95636,1,1
2018-10-14,95642,1,1
2018-10-14,95654,1,1
2018-10-14,95651,1,1
2018-10-14,95664,1,1
2018-10-14,95665,1,1
2018-10-14,95644,1,1
2018-10-14,95666,1,1
2018-10-14,95613,1,1
2018-10-14,95667,1,1
2018-10-14,95669,1,1
2018-10-14,95675,1,1
2018-10-14,95682,1,1
2018-10-14,95684,1,1
2018-10-14,95685,1,1
2018-10-14,95689,1,1
2018-10-14,95701,1,1
2018-10-14,95709,1,1
2018-10-14,95713,1,1
2018-10-14,95714,1,1
2018-10-14,95717,1,1
2018-10-14,95720,1,1
2018-10-14,95721,1,1
2018-10-14,95726,1,1
2018-10-14,95735,1,1
2018-10-14,95762,1,1
2018-10-14,95712,1,1
2018-10-14,95924,1,1
2018-10-14,95945,1,1
2018-10-14,95949,1,1
2018-10-14,96155,1,1
2018-10-15,91916,1,1
2018-10-15,91931,1,1
2018-10-15,92036,1,1
2018-10-15,92060,1,1
2018-10-15,92061,1,1
2018-10-15,92082,1,1
2018-10-15,94508,1,1
2018-10-15,94515,1,1
2018-10-15,94567,1,1
2018-10-15,94574,1,1
2018-10-15,94576,1,1
2018-10-15,95232,1,1
2018-10-15,95245,1,1
2018-10-15,95246,1,1
2018-10-15,95248,1,1
2018-10-15,95255,1,1
2018-10-15,95257,1,1
2018-10-15,95403,1,1
2018-10-15,95402,1,1
2018-10-15,95404,1,1
2018-10-15,95406,1,1
2018-10-15,95409,1,1
2018-10-15,95422,1,1
2018-10-15,95424,1,1
2018-10-15,95423,1,1
2018-10-15,95426,1,1
2018-10-15,95435,1,1
